phenotype	NR	R	R	NR	R	R	R	R	NR	R	R	R	R	NR	R	NR	NR	R	NR	R	R	R	R	R	R	NR	R	R	R	NR	R	R	R	R	NR	R	R	R	R	NR
subject_id	Wargo.109865	Wargo.115690	Wargo.117349	Wargo.118369	Wargo.118370	Wargo.120662	Wargo.121296	Wargo.121409	Wargo.121891	Wargo.121892	Wargo.122114	Wargo.122410	Wargo.122412	Wargo.122637	Wargo.122639	Wargo.122724	Wargo.123009	Wargo.123197	Wargo.123305	Wargo.123704	Wargo.123986	Wargo.124418	Wargo.124419	Wargo.124421	Wargo.126747	Wargo.126802	Wargo.127261	Wargo.127262	Wargo.130510	Wargo.130511	Wargo.130801	Wargo.131051	Wargo.131300	Wargo.131302	Wargo.131512	Wargo.131541	Wargo.132265	Wargo.132266	Wargo.132268	Wargo.132538
Eukaryota|Incertae_Sedis|Incertae_Sedis_cl|Incertae_Sedis_or	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Actinobacteria|Thermoleophilia|Solirubrobacterales	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Proteobacteria|Gammaproteobacteria|Aeromonadales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidaceae	3243	2806	8962	16008	23745	24862	37415	29927	17705	2571	19112	4857	18494	13404	50	17325	14781	19965	16077	160	4904	10076	32533	32152	17230	21031	22268	20575	24347	21158	7362	35042	36603	7	31525	23768	31967	876	25831	5367
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae	8325	44	7	43384	4	7	9	10	0	1048	0	0	1111	4	162	3	0	0	48	761	2	70	0	5	2	11989	1182	0	83	2088	0	4	3	10	5	4	10	1153	0	65461
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Tannerellaceae	482	168	6087	1694	1615	876	826	6290	377	782	1729	0	1090	0	3	0	545	2403	394	2	8745	387	2450	2469	1223	820	1114	1175	561	980	2684	0	3927	0	183	331	1749	1039	6066	768
Bacteria|Proteobacteria|Gammaproteobacteria|Enterobacteriales|Enterobacteriaceae	33	0	574	685	539	205	6229	411	44	25	7	159	11	912	4047	575	2619	290	17	735	1353	148	500	1169	2356	0	22	14550	9	13	1035	3321	0	2003	16	7	0	3	70	1584
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae	468	3718	20760	7051	20217	10109	3031	13851	2858	14434	537	5742	3780	2570	12143	1034	1816	3870	2599	14445	11915	8270	180	7214	18643	4972	10158	8048	7554	3132	4263	9955	6860	5553	10797	19105	7891	9610	12918	2222
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Rikenellaceae	758	724	6510	2348	4410	3511	13	734	836	9676	315	2136	2321	7508	0	0	1649	1750	1806	2	567	871	2488	135	3429	1532	2519	3239	2324	1036	192	5048	1763	0	4897	6910	897	684	2517	28
Bacteria|Proteobacteria|Gammaproteobacteria|Betaproteobacteriales|Burkholderiaceae	231	65	773	1619	0	1576	9	8940	642	522	1175	81	1535	0	0	0	1231	1209	233	0	85	6	1429	46	1497	1228	2608	95	2565	2069	0	483	0	0	587	1670	2029	115	1148	590
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae	896	911	10081	7341	5367	12326	8404	11095	4499	2286	3637	3369	2888	4799	5575	4084	3636	5164	1369	17967	2451	4644	799	3507	10568	3734	3477	3117	4521	3720	13006	2517	7693	36799	12089	7795	3084	12629	8325	2048
Bacteria|Firmicutes|Negativicutes|Selenomonadales|Veillonellaceae	67	3	392	27	5	3	450	732	1457	26	19	0	17	627	1123	198	90	0	341	643	112	25	127	0	3	38	512	7	12	759	9663	2	18	2028	327	556	177	50	13	1096
Bacteria|Verrucomicrobia|Verrucomicrobiae|Verrucomicrobiales|Akkermansiaceae	0	656	168	7	48	1429	153	22	0	166	0	3	1466	0	0	0	1569	0	699	0	726	103	5	4	1462	2	124	75	0	419	7501	0	0	2	3200	310	0	0	0	210
Bacteria|Firmicutes|Negativicutes|Selenomonadales|Acidaminococcaceae	46	225	10	147	600	503	20	13	0	226	0	386	556	0	0	0	997	0	0	0	122	345	373	312	1225	968	61	131	1061	0	0	1393	426	0	0	0	431	43	570	2
Bacteria|Firmicutes|Clostridia|Clostridiales|Clostridiaceae_1	0	62	5	0	2	0	0	38	0	5	0	18	42	61	11	12	3	0	42	418	6318	34	0	12	327	156	20	17	0	0	86	0	0	1751	271	77	0	6	3	3
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Dysgonomonadaceae	0	0	0	0	0	5	6	4	0	0	0	0	0	26	4641	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Proteobacteria|Deltaproteobacteria|Desulfovibrionales|Desulfovibrionaceae	0	70	502	404	453	423	5	10	214	59	0	80	240	208	0	242	52	0	378	0	71	424	0	20	336	465	1170	210	312	85	0	0	462	0	590	152	431	106	419	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Christensenellaceae	0	197	766	58	30	28	4	6	27	66	0	3176	5	70	0	0	0	11	8	436	0	481	0	0	641	73	55	458	0	0	96	403	2	0	89	175	2	775	393	0
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Marinifilaceae	98	36	407	677	68	626	0	770	259	129	90	283	0	0	0	0	83	185	60	0	46	202	0	0	334	291	171	317	100	445	0	0	0	0	118	414	184	42	178	0
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Barnesiellaceae	0	229	0	1244	2	0	6	0	196	167	0	0	636	0	0	0	0	1529	21	0	53	944	0	853	2295	0	0	0	970	344	0	0	1169	0	0	0	193	74	0	0
Bacteria|Actinobacteria|Coriobacteriia|Coriobacteriales|Coriobacteriaceae	0	0	3	18	328	10	127	0	0	9	0	8	0	0	0	0	10	0	44	0	1425	22	0	0	224	26	13	5	30	0	508	0	17	0	0	20	0	11	0	0
Bacteria|Actinobacteria|Actinobacteria|Bifidobacteriales|Bifidobacteriaceae	2	14	16	39	0	0	2104	56	0	79	0	4	0	396	0	55	3	10	63	15	49	488	7	0	187	13	7	0	70	0	0	0	65	54	0	156	98	41	0	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Peptostreptococcaceae	0	0	0	35	9	3	1105	0	0	4	13	0	134	161	265	33	30	0	91	195	136	23	0	0	260	185	11	7	18	8	1154	101	2	659	0	269	21	4	166	157
Bacteria|Firmicutes|Bacilli|Lactobacillales|Streptococcaceae	0	129	4	68	44	10	66	45	4	32	69	2	12	129	11	21	75	24	9	60	559	3	77	7	1470	9	0	1280	0	0	267	292	19	31	92	49	8	15	37	304
